gene1,gene2,lag,p-value
AARS,AIRE,1,0.4198762499048417
AARS,AK1,1,0.21182943153901782
AARS,AK2,1,0.16108355317716924
AARS,AKR1D1,1,0.32337840763652137
AARS,AKT1,1,0.17957774498267604
AARS,AKT3,1,0.5595117098171873
AARS,ALAD,1,0.24911342160727773
AARS,ALDH18A1,1,0.8626588163965115
AARS,ALDH3A2,1,0.6413594686240629
AARS,ALDH4A1,1,0.14945191588425905
AARS,ALDH5A1,1,0.5198767834035044
AARS,ALDH7A1,1,0.2923169130254796
AARS,ALDOA,1,0.1845042539191663
AARS,ALDOB,1,0.07118235977496838
AARS,ALG1,1,0.6931544811044613
AARS,ALG11,1,0.8251212268392522
AARS,ALG12,1,0.12286438034458116
AARS,ALG13,1,0.2512172335439342
AARS,ALG2,1,0.10230359720974971
AARS,ALG3,1,0.1114505305426176
AARS,ALG6,1,0.23110700998608572
AARS,ALG8,1,0.14679427855791433
AARS,ALG9,1,0.1660218741116495
AARS,ALMS1,1,0.6384548245053538
AARS,ALPL,1,0.24882983856599808
AARS,ALX3,1,0.025485265815076288
AARS,ALX4,1,0.0005440087267614486
AARS,AMER1,1,0.28773346851639897
AARS,AMPD2,1,0.6977076957453864
AARS,AMT,1,0.4563977606050914
AARS,ANK3,1,0.013748700883933535
AARS,ANKH,1,0.6178726066728042
AARS,ANKRD11,1,0.19799568014685218
AARS,ANO10,1,0.11059852771886594
AARS,ANO5,1,0.3955522234569019
AARS,ANTXR1,1,0.2575677255110634
AARS,AP1S1,1,0.240293757015452
AARS,AP1S2,1,0.03548069769743959
AARS,AP3B1,1,0.2778530405324442
AARS,AP3B2,1,0.5590595040325058
AARS,AP4B1,1,0.726188486257566
AARS,AP4E1,1,0.09593238793905404
AARS,AP4M1,1,0.5928760730762659
AARS,AP4S1,1,0.9422891415706994
AARS,APOPT1,1,0.007009236038618857
AARS,APTX,1,0.04300203635784613
AARS,ARCN1,1,0.08891534578388705
AARS,ARFGEF2,1,0.3006752867123012
AASS,AAAS,1,0.2667942473700192
AASS,AARS,1,0.3009737868310329
AASS,ABCB11,1,0.8805055747878161
AASS,ABCC6,1,0.8095230689479531
AASS,ABCC9,1,0.44899947114993083
AASS,ABCD1,1,0.569841119579283
AASS,ABCD4,1,0.6056150359726736
AASS,ABHD5,1,0.09927582029441498
AASS,ACAD9,1,0.5441181660748747
AASS,ACADM,1,0.6454220350823966
AASS,ACADS,1,0.6966025814175597
AASS,ACADVL,1,0.9933605544686654
AASS,ACAN,1,0.11168050368555928
AASS,ACAT1,1,0.5345410327699697
AASS,ACBD6,1,0.7098253007909622
AASS,ACO2,1,0.4679926704614996
AASS,ACOX1,1,0.5476047702096781
AASS,ACP5,1,0.3195441178265463
AASS,ACSL4,1,0.95593616556525
AASS,ACTA2,1,0.311755104539693
AASS,ACTB,1,0.41935017397290486
AASS,ACTG1,1,0.8216204480067151
AASS,ACTL6A,1,0.9517044794500146
AASS,ACVR1,1,0.7351542372533476
AASS,ACY1,1,0.4013089390307273
AASS,ADA,1,0.12762021313558172
AASS,ADAR,1,0.34574650168366244
AASS,ADAT3,1,0.4931391317831114
AASS,ADCK3,1,0.5270853686983233
AASS,ADCY5,1,0.5915177445278533
AASS,ADGRG1,1,0.4185355104713291
AASS,ADGRG6,1,0.08969342774717522
AASS,ADK,1,0.8400582719709572
AASS,ADNP,1,0.1911422887868621
AASS,ADPRHL2,1,0.9543836725512286
AASS,ADRA2B,1,0.8680905913652645
AASS,ADSL,1,0.62982848739111
AASS,AFF2,1,0.1351675060547108
AASS,AFF4,1,0.5995189139924612
AASS,AFG3L2,1,0.9433814370545184
AASS,AGA,1,0.4068091665023191
AASS,AGL,1,0.6289006613727339
AASS,AGPS,1,0.561228506414461
AASS,AGTR2,NaN,NaN
AASS,AGXT,1,0.9127240914235025
AASS,AHCY,1,0.5976971988496637
AASS,AHDC1,1,0.5961334414264765
AASS,AHI1,1,0.6541735845294006
AASS,AIFM1,1,0.3691839592286592
AASS,AIMP1,1,0.4127544031206541
AASS,AIPL1,1,0.040058708592654285
AASS,AIRE,1,0.39079221101030115
AASS,AK1,1,0.4990540378456355
AASS,AK2,1,0.8429533778574869
AASS,AKR1D1,1,0.5762991700665687
AASS,AKT1,1,0.5221941234134824
AASS,AKT3,1,0.36021195425578806
AASS,ALAD,1,0.8253627960155463
AASS,ALDH18A1,1,0.5099255159254832
AASS,ALDH3A2,1,0.4427361075668459
AASS,ALDH4A1,1,0.5979136387027258
AASS,ALDH5A1,1,0.6720509941587514
AASS,ALDH7A1,1,0.78414558657191
AASS,ALDOA,1,0.17760879227033066
AASS,ALDOB,1,0.6266362564194179
AASS,ALG1,1,0.568830287936517
AASS,ALG11,1,0.41700848295312043
AASS,ALG12,1,0.09508362558372895
AASS,ALG13,1,0.44394523776539574
AASS,ALG2,1,0.06398338128935088
AASS,ALG3,1,0.5972764410783615
AASS,ALG6,1,0.9108941010781151
AASS,ALG8,1,0.2555884012937684
AASS,ALG9,1,0.8929756645117297
AASS,ALMS1,1,0.3188878263274178
AASS,ALPL,1,0.07939844261048438
AASS,ALX3,1,0.1450417264860811
AASS,ALX4,1,0.23715455697515156
AASS,AMER1,1,0.636415464710798
AASS,AMPD2,1,0.6441292075118705
AASS,AMT,1,0.5243114988187427
AASS,ANK3,1,0.9794783743876782
AASS,ANKH,1,0.2119504061699454
AASS,ANKRD11,1,0.3949440621932667
AASS,ANO10,1,0.25477185325870194
AASS,ANO5,1,0.8202913424782922
AASS,ANTXR1,1,0.009905823659867072
AASS,AP1S1,1,0.6758720461245246
AASS,AP1S2,1,0.22040900356538817
AASS,AP3B1,1,0.6372559377594383
AASS,AP3B2,1,0.8244645327683414
AASS,AP4B1,1,0.4489173716429088
AASS,AP4E1,1,0.5774320294861393
AASS,AP4M1,1,0.2516171161418876
AASS,AP4S1,1,0.5995788487385125
AASS,APOPT1,1,0.5488388092598283
AASS,APTX,1,0.6441116332222384
AASS,ARCN1,1,0.04727342999028606
AASS,ARFGEF2,1,0.29348998930424014
ABCB11,AAAS,1,0.710181043852039
ABCB11,AARS,1,0.7047034949977471
ABCB11,AASS,1,0.7226173350628391
ABCB11,ABCC6,1,0.8166289318039687
ABCB11,ABCC9,1,0.9207732193622967
ABCB11,ABCD1,1,0.9831079574969318
ABCB11,ABCD4,1,0.729827959793083
ABCB11,ABHD5,1,0.8923074899210233
ABCB11,ACAD9,1,0.8929409916952064
ABCB11,ACADM,1,0.7453831964523768
ABCB11,ACADS,1,0.9919445223587173
ABCB11,ACADVL,1,0.8148899517920435
ABCB11,ACAN,1,0.5226408796862679
ABCB11,ACAT1,1,0.9797141825501097
ABCB11,ACBD6,1,0.5101506802924272
ABCB11,ACO2,1,0.833661226608426
ABCB11,ACOX1,1,0.4052602569908616
ABCB11,ACP5,1,0.6347028635020406
ABCB11,ACSL4,1,0.962162761822666
ABCB11,ACTA2,1,0.7112755550589414
ABCB11,ACTB,1,0.5080058303582473
