gene1,gene2,lag,p-value
GLB1,FOXRED1,1,2.429805713362452e-05
GNPAT,KIF2A,1,6.150974847504871e-05
GNPAT,NDUFAF2,1,5.321641135363899e-05
GTF2H5,NBAS,1,0.0002733234664658007
IRF6,DDB2,1,7.541404476639273e-05
LMX1B,GLB1,1,5.97851583490796e-05
MPDU1,ACO2,1,0.0001028004393621422
MTM1,NAA15,1,0.00010300764479822073
PACS1,DNAJC19,1,0.0001387148619109584
PACS1,SLC16A2,1,0.0001421181400176845
PACS1,SYNJ1,1,0.00023695898156629534
PET100,PKD1L1,1,4.485202579466144e-05
PET100,SNAP29,1,0.0002752692004479068
RAI1,MMADHC,1,0.0002024959188016147
RAI1,SLC16A2,1,0.0002814825982278883
SCARF2,CTC1,1,0.00029967604459676776
SCARF2,NBN,1,0.0001010250679149257
SLC16A2,TXNL4A,1,8.853955991865895e-05
TAT,GLB1,1,0.00021558105265758137
TIMM8A,PACS1,1,0.00021846897473804945
ANO5,PGM1,1,0.00030757820941212596
ANO5,TP63,1,0.00017709596343174424
ANO5,WNT7A,1,1.2555008992920223e-05
ERCC6L2,NBAS,1,1.2160008585407686e-05
FBXO31,DDB2,1,7.019413645224265e-05
FOXE3,TAT,1,7.450905666282554e-05
GJA1,COLEC11,1,0.00017861593269782685
GJA1,GLB1,1,0.00028927637107547394
GLB1,FOXRED1,1,2.429805713362452e-05
GNPAT,KIF2A,1,6.150974847504871e-05
HRAS,KIF2A,1,0.0002973075696458395
KIF2A,ALX3,1,0.0002844071447927601
MMADHC,ADPRHL2,1,4.811283920765822e-05
NBN,C5orf42,1,0.00014869604599162042
PACS1,DNAJC19,1,0.0001387148619109584
PACS1,SYNJ1,1,0.00023695898156629534
PET100,PKD1L1,1,4.485202579466144e-05
RAI1,MMADHC,1,0.0002024959188016147
SCARF2,NBN,1,0.0001010250679149257
SNX14,PKD1L1,1,0.00026870438837462226
SYNJ1,STX1B,1,6.107507478524352e-05
TAT,GLB1,1,0.00021558105265758137
TAT,GRIA3,1,2.859596810032618e-05
TIMM8A,PACS1,1,0.00021846897473804945
ADPRHL2,NDP,1,0.00014567639031926662
ADPRHL2,NOTCH2,1,0.00018286358956682986
ALX3,B3GLCT,1,0.00022768379411396405
ANO5,PGM1,1,0.00030757820941212596
ANO5,WNT7A,1,1.2555008992920223e-05
AUH,ADPRHL2,1,1.594246582547478e-05
CYP7B1,HRAS,1,0.0001090164344068943
FOXE3,TAT,1,7.450905666282554e-05
FOXE3,TMEM67,1,0.00018375636677506025
GJA1,COLEC11,1,0.00017861593269782685
GRIA3,C12orf4,1,0.00015537803045715607
GRIA3,TUBGCP6,1,0.0001529842969966276
HRAS,KIF2A,1,0.0002973075696458395
KIF2A,ALX3,1,0.0002844071447927601
MMADHC,ADPRHL2,1,4.811283920765822e-05
NBN,C5orf42,1,0.00014869604599162042
SALL1,PGM1,1,0.00022904489050669624
SNX14,PKD1L1,1,0.00026870438837462226
STX1B,ANK3,1,1.9423258781478366e-05
SYNJ1,STX1B,1,6.107507478524352e-05
TAT,GRIA3,1,2.859596810032618e-05
WNT7A,FOXE1,1,9.665190886925792e-05
ADGRG1,TMEM67,1,0.00022612861709885756
ADPRHL2,NDP,1,0.00014567639031926662
ADPRHL2,NOTCH2,1,0.00018286358956682986
ALX3,B3GLCT,1,0.00022768379411396405
ARSA,NDP,1,1.6976428686427866e-05
ATM,FOXE1,1,0.0001262626071865198
AUH,ADPRHL2,1,1.594246582547478e-05
B3GLCT,ARID1B,1,9.059455691194865e-05
CYP7B1,HRAS,1,0.0001090164344068943
FOXE3,TMEM67,1,0.00018375636677506025
GRIA3,C12orf4,1,0.00015537803045715607
GRIA3,TUBGCP6,1,0.0001529842969966276
KLF8,NDP,1,2.1245038215096734e-05
MMAA,NOTCH2,1,1.7529739455802206e-06
NOTCH2,SC5D,1,3.311192489717191e-05
NYX,FOXE1,1,0.00022413375879012172
SALL1,PGM1,1,0.00022904489050669624
STX1B,ANK3,1,1.9423258781478366e-05
UBE3A,NDP,1,0.0002513044119893975
WNT7A,FOXE1,1,9.665190886925792e-05
ADGRG1,TMEM67,1,0.00022612861709885756
ARSA,NDP,1,1.6976428686427866e-05
ATM,FOXE1,1,0.0001262626071865198
ATM,RPL10,1,2.841837319135705e-06
B3GLCT,ARID1B,1,9.059455691194865e-05
BRF1,SC5D,1,0.00018669615693706163
CHL1,MMAA,1,0.00023884155854952063
EEF1A2,MMAA,1,8.469309782356214e-05
HDAC4,SC5D,1,6.01075814162985e-06
JAM3,SC5D,1,0.00013983591495993463
KLF8,HACE1,1,0.00020012118107158702
KLF8,NDP,1,2.1245038215096734e-05
MMAA,NOTCH2,1,1.7529739455802206e-06
MTHFR,SC5D,1,0.00028766683296200916
NOTCH2,SC5D,1,3.311192489717191e-05
NYX,FOXE1,1,0.00022413375879012172
NYX,GATA6,1,0.00011472670317555664
PEX5,KLF8,1,0.0002825316376423954
RPS19,ATM,1,0.00018139626972278578
UBE3A,NDP,1,0.0002513044119893975
ARID2,HDAC4,1,0.0002937089004785352
ATM,RPL10,1,2.841837319135705e-06
BRF1,SC5D,1,0.00018669615693706163
CHL1,KCNK9,1,0.0001035236631979487
CHL1,MMAA,1,0.00023884155854952063
CHL1,PAX6,1,0.00019740147115705487
D2HGDH,JAM3,1,3.3602943199987935e-05
EEF1A2,IDS,1,6.67466415535058e-05
EEF1A2,MMAA,1,8.469309782356214e-05
HDAC4,SC5D,1,6.01075814162985e-06
JAM3,SC5D,1,0.00013983591495993463
KLF8,HACE1,1,0.00020012118107158702
MTHFR,SC5D,1,0.00028766683296200916
NYX,GATA6,1,0.00011472670317555664
PEX5,KLF8,1,0.0002825316376423954
RPS19,ATM,1,0.00018139626972278578
RPS19,TAF1,1,2.8833508015921095e-05
SATB2,CHL1,1,5.382236963662566e-06
SMARCE1,RPL10,1,8.110390906537967e-05
ARID2,HDAC4,1,0.0002937089004785352
CHL1,KCNK9,1,0.0001035236631979487
CHL1,PAX6,1,0.00019740147115705487
CRYBA1,D2HGDH,1,4.966057670142583e-05
D2HGDH,JAM3,1,3.3602943199987935e-05
DCX,KCNK9,1,1.4011362862660131e-05
EEF1A2,IDS,1,6.67466415535058e-05
FMN2,ARID2,1,0.00027692545351289864
GALK1,D2HGDH,1,5.854322652905218e-05
GLMN,KCNK9,1,5.2654340787695556e-05
PGAP1,TAF1,1,0.00026482395359468317
RAD21,KCNK9,1,0.000110875851583345
RPS19,TAF1,1,2.8833508015921095e-05
SATB2,CHL1,1,5.382236963662566e-06
SATB2,NT5C2,1,3.0579041388611044e-05
SMARCE1,RPL10,1,8.110390906537967e-05
TMEM135,KCNK9,1,0.00029006864626983283
TUSC3,PAX6,1,0.0002981401400228779
AASS,NT5C2,1,0.00028146920140952275
ATR,NT5C2,1,9.917130197583948e-05
COL6A1,CRYBA1,1,1.294297334433204e-05
CRYBA1,D2HGDH,1,4.966057670142583e-05
CYP27A1,FMN2,1,0.00012333665052447637
DCX,KCNK9,1,1.4011362862660131e-05
FMN2,ALG8,1,2.3711963430213683e-05
FMN2,ARID2,1,0.00027692545351289864
GALK1,D2HGDH,1,5.854322652905218e-05
GALK1,DLL4,1,0.00021189242980634566
GLMN,KCNK9,1,5.2654340787695556e-05
HEXA,GALK1,1,0.000267616404829167
PGAP1,FUCA1,1,0.0002964443566676577
PGAP1,TAF1,1,0.00026482395359468317
PNPO,FMN2,1,8.58793237069224e-05
PRSS56,GLMN,1,0.00015947047393310559
RAD21,KCNK9,1,0.000110875851583345
SATB2,NT5C2,1,3.0579041388611044e-05
STRADA,CRYBA1,1,8.335085322258704e-05
TMEM135,KCNK9,1,0.00029006864626983283
TUSC3,PAX6,1,0.0002981401400228779
AASS,NT5C2,1,0.00028146920140952275
ALG8,GTPBP2,1,0.0002439111021581041
ALG8,TSPAN7,1,0.00014149493634432392
ATR,GTPBP2,1,0.0001424043351225269
ATR,NT5C2,1,9.917130197583948e-05
BSCL2,DLL4,1,0.00028282155479961743
CNKSR2,AASS,1,0.00025844167342589495
COL6A1,CRYBA1,1,1.294297334433204e-05
COL6A1,DYNC1H1,1,0.000307336102367195
COX7B,DLL4,1,0.00015849867631508033
CYP27A1,FMN2,1,0.00012333665052447637
FMN2,ALG8,1,2.3711963430213683e-05
GALK1,DLL4,1,0.00021189242980634566
HEXA,FBXO11,1,0.00021476446258518423
HEXA,GALK1,1,0.000267616404829167
HEXA,SLC25A22,1,0.0002449665171494881
NPHP1,DLL4,1,9.674738105086961e-05
NSDHL,COL6A1,1,0.0001989330361726265
PGAP1,FUCA1,1,0.0002964443566676577
PNPO,FMN2,1,8.58793237069224e-05
PRSS56,GLMN,1,0.00015947047393310559
PRSS56,SUOX,1,7.831422771434271e-05
STRADA,BSCL2,1,0.00027303821684574554
STRADA,CRYBA1,1,8.335085322258704e-05
STRADA,EPG5,1,0.00015791380932889275
STRADA,GRIA2,1,2.9852521209619973e-05
ALG8,GTPBP2,1,0.0002439111021581041
ALG8,TSPAN7,1,0.00014149493634432392
ASCL1,SLC25A22,1,0.00015411159266179468
ATR,GTPBP2,1,0.0001424043351225269
BBS12,DYNC1H1,1,0.0003052947959013447
BSCL2,CHD7,1,0.00011628760070894678
BSCL2,DLL4,1,0.00028282155479961743
CCDC40,GTPBP2,1,0.00013504728640084267
CNKSR2,AASS,1,0.00025844167342589495
COL6A1,DYNC1H1,1,0.000307336102367195
COX7B,DLL4,1,0.00015849867631508033
GRIA2,MAPK10,1,0.0002566996193344109
HEXA,FBXO11,1,0.00021476446258518423
HEXA,SLC25A22,1,0.0002449665171494881
NPHP1,DLL4,1,9.674738105086961e-05
NSDHL,COL6A1,1,0.0001989330361726265
NSDHL,FTO,1,0.0002222752614257982
NSDHL,RRM2B,1,9.781403203305833e-05
PRSS56,SUOX,1,7.831422771434271e-05
SLC25A22,DKC1,1,7.457962970279287e-05
STRADA,BSCL2,1,0.00027303821684574554
STRADA,EPG5,1,0.00015791380932889275
STRADA,GRIA2,1,2.9852521209619973e-05
TH,NSDHL,1,0.0002444690361389953
WAC,CNKSR2,1,2.707963847322787e-05
ADGRG6,TH,1,0.00021379739131501959
ARMC9,RRM2B,1,0.0002476177565771894
ASCL1,FANCC,1,0.00022213777364292928
ASCL1,SLC25A22,1,0.00015411159266179468
B3GALNT2,WAC,1,9.047947985434586e-06
BBS12,DYNC1H1,1,0.0003052947959013447
BSCL2,CHD7,1,0.00011628760070894678
CCDC40,GTPBP2,1,0.00013504728640084267
DCC,FTO,1,4.144063837803166e-05
GRIA2,MAPK10,1,0.0002566996193344109
NAGLU,TH,1,0.000281461977278815
NSDHL,FTO,1,0.0002222752614257982
NSDHL,RRM2B,1,9.781403203305833e-05
SCN11A,MAPK10,1,0.00026389444575895463
