gene1,gene2,lag,p-value
CCND2,ZEB2,1,0.0002749673725256608
DHDDS,ZEB2,1,0.0004211426251547534
CCND2,ZEB2,1,0.0002749673725256608
CCND2,ZNF674,1,0.0001348696529452928
DHDDS,KCNB1,1,0.0001255499589392252
DHDDS,ZEB2,1,0.0004211426251547534
FLT4,DHDDS,1,5.541474985464715e-06
PHGDH,CCND2,1,6.22150189569877e-05
TMEM240,CCND2,1,0.00025737991258151043
AHI1,KCNB1,1,0.00025001466494129767
CCND2,ZNF674,1,0.0001348696529452928
CTNNB1,PHGDH,1,6.40886815332835e-05
DHDDS,KCNB1,1,0.0001255499589392252
FLT4,DHDDS,1,5.541474985464715e-06
GNAS,FLT4,1,0.0003806527081737781
HSF4,ZNF674,1,0.000310620663809406
KCNJ6,ZNF674,1,0.0004264036587517583
PHGDH,CCND2,1,6.22150189569877e-05
PHGDH,COL2A1,1,0.00013155967614338694
PHGDH,CYC1,1,0.00023072595900299752
TMEM240,CCND2,1,0.00025737991258151043
TMEM240,HERC1,1,0.00035032378859797743
ZNF674,DLL4,1,0.0003114869296451913
ZNF674,MAP2K1,1,4.821546545526679e-05
AHI1,KCNB1,1,0.00025001466494129767
ASL,CTNNB1,1,0.00014096890197602514
BSCL2,DLL4,1,0.00028282155479961743
COL2A1,CTSF,1,0.00015375016548535903
COL2A1,FGD1,1,0.0004060947168507314
COX7B,DLL4,1,0.00015849867631508033
CTNNB1,PHGDH,1,6.40886815332835e-05
DSTYK,KCNJ6,1,0.0004914820202607528
FGD1,CTNNB1,1,0.0002575288234490949
GALK1,DLL4,1,0.00021189242980634566
GNAS,CA2,1,0.00035092941719858865
GNAS,FLT4,1,0.0003806527081737781
GNAS,SHROOM4,1,0.0003529898613386568
HCFC1,COL2A1,1,0.0001299145326742121
HERC1,TSEN54,1,0.00012693175395639045
HSF4,DLG3,1,0.00021167770322657255
HSF4,GPR179,1,0.00037296805464831994
HSF4,PIGV,1,0.0002445634010443328
HSF4,ZNF674,1,0.000310620663809406
KCNJ6,NIPBL,1,0.0003849743354564978
KCNJ6,SETD1B,1,5.875208637059111e-05
KCNJ6,ZNF674,1,0.0004264036587517583
L1CAM,AHI1,1,0.00020581097626845674
MAP2K1,CYP1B1,1,0.00014334824192027581
MAP2K1,NT5C3A,1,0.0003523167296333196
MPLKIP,AHI1,1,0.0004683355465549033
NDUFS2,GNAS,1,0.00023791941701933097
NPHP1,DLL4,1,9.674738105086961e-05
PEX2,DLL4,1,0.0003275939238677313
PHGDH,COL2A1,1,0.00013155967614338694
PHGDH,CYC1,1,0.00023072595900299752
PNPT1,HSF4,1,0.0004852255263371477
SOX3,CTNNB1,1,0.00015857521159283922
SUMF1,CTNNB1,1,5.9712721312831676e-05
TMEM240,HERC1,1,0.00035032378859797743
ZNF674,DLL4,1,0.0003114869296451913
ZNF674,MAP2K1,1,4.821546545526679e-05
ACAN,DLG3,1,0.00022966286290845207
ACP5,CYP1B1,1,0.00020407305077909548
ACP5,DSTYK,1,0.00011349814036782801
ADA,NIPBL,1,0.000455101378307577
ASL,CTNNB1,1,0.00014096890197602514
ASL,EOGT,1,0.0003409808715723386
ASL,NAA10,1,0.0002520150528940775
B4GALNT1,ASL,1,2.861602797178702e-05
BRWD3,L1CAM,1,0.0004986599876801508
BSCL2,CHD7,1,0.00011628760070894678
BSCL2,DLL4,1,0.00028282155479961743
C19orf12,ASL,1,3.103966232839226e-05
CHAMP1,PNPT1,1,7.828072759999688e-05
CHD4,PEX2,1,4.870467395951233e-05
COL10A1,CA2,1,0.0002939106486212608
COL2A1,CTSF,1,0.00015375016548535903
COL2A1,FGD1,1,0.0004060947168507314
COX7B,DLL4,1,0.00015849867631508033
DLG2,SOX3,1,0.00034996642016442425
DSTYK,KCNJ6,1,0.0004914820202607528
ELAC2,NT5C3A,1,2.5738243341107945e-05
FA2H,CYP1B1,1,0.00025362435346582777
FGD1,CTNNB1,1,0.0002575288234490949
FGD1,HSD3B7,1,0.000359116030135947
FKBP14,NDUFS2,1,0.00013336822702549142
GALK1,D2HGDH,1,5.854322652905218e-05
GALK1,DLL4,1,0.00021189242980634566
GNAS,CA2,1,0.00035092941719858865
GNAS,SHROOM4,1,0.0003529898613386568
GNPTAB,PIGV,1,6.206225095156529e-05
HCFC1,ACTA2,1,2.8141511106031986e-05
HCFC1,COL2A1,1,0.0001299145326742121
HCFC1,TRAPPC6B,1,0.0001915007228615293
HERC1,TSEN54,1,0.00012693175395639045
HEXA,GALK1,1,0.000267616404829167
HSF4,DLG3,1,0.00021167770322657255
HSF4,GPR179,1,0.00037296805464831994
HSF4,PIGV,1,0.0002445634010443328
JAM3,NDUFS2,1,0.00034199782731516914
KCNJ6,NIPBL,1,0.0003849743354564978
KCNJ6,SETD1B,1,5.875208637059111e-05
L1CAM,AHI1,1,0.00020581097626845674
L1CAM,KIF5A,1,0.0001886003989473683
L1CAM,MMACHC,1,1.8957698908560002e-05
MAP2K1,CYP1B1,1,0.00014334824192027581
MAP2K1,NT5C3A,1,0.0003523167296333196
MAT1A,CTSF,1,0.00012146273869564659
MPLKIP,AHI1,1,0.0004683355465549033
MPLKIP,PUS1,1,0.0002649996311199027
NDUFS2,GNAS,1,0.00023791941701933097
NIPBL,GRIN2B,1,4.896312124187636e-06
NPHP1,DLL4,1,9.674738105086961e-05
NT5C3A,ST3GAL3,1,6.253348890271244e-05
NTRK1,CYP1B1,1,0.00021252061140551907
OCRL,COX7B,1,0.00042503138310578584
PEX2,DLL4,1,0.0003275939238677313
PEX2,SLC27A4,1,0.0002432511570319556
PIGV,WDR26,1,0.00012280471608261878
PNPT1,HSF4,1,0.0004852255263371477
RNASEH2C,NIPBL,1,3.7072873188375663e-05
SHROOM4,FKBP14,1,5.8607573692042036e-05
SLC12A6,PEX2,1,0.00015302830445698316
SLC46A1,MPLKIP,1,0.0003623094824980141
SMARCA2,CA2,1,0.00014887970540477865
SOX3,CTNNB1,1,0.00015857521159283922
SOX3,EOGT,1,0.00047382380284664914
SOX3,HSD17B4,1,6.129031073980978e-05
STRADA,BSCL2,1,0.00027303821684574554
SUMF1,COL11A1,1,0.0002423381685966516
SUMF1,CTNNB1,1,5.9712721312831676e-05
SUMF1,EEF1B2,1,0.0001976395089502613
SUMF1,TMEM126B,1,2.4908024449747192e-05
TRAPPC2,NT5C3A,1,0.00024930373540561117
TSEN54,MGAT2,1,0.00029108267284460286
TSEN54,NKX3-2,1,0.0004163083738812797
UBE3B,PEX2,1,0.00020360807055933106
VPS13B,CYP1B1,1,0.00042660406831873443
ACAN,CEP135,1,0.00048033879300275485
ACAN,DLG3,1,0.00022966286290845207
ACAN,TGFB1,1,1.0077665141621579e-05
ACAN,TUBG1,1,0.0003245845761447635
ACP5,CD96,1,0.0002558256078140634
ACP5,CYP1B1,1,0.00020407305077909548
ACP5,DSTYK,1,0.00011349814036782801
ACP5,NAGS,1,2.343364541214121e-05
ACTA2,ADAR,1,0.00040442333055960085
ADA,BBS9,1,0.00036331533746576433
ADA,CDH15,1,0.0004317325614820872
ADA,NIPBL,1,0.000455101378307577
AK1,MGAT2,1,0.000461175262656702
ALDH3A2,BRWD3,1,8.526734379803252e-05
ALPL,KIF5A,1,0.00010670074138257124
ARMC4,RNASEH2C,1,0.00027389838476793514
ASL,EOGT,1,0.0003409808715723386
ASL,NAA10,1,0.0002520150528940775
B4GALNT1,ASL,1,2.861602797178702e-05
BRPF1,ADA,1,0.000489505230259688
BRWD3,L1CAM,1,0.0004986599876801508
BSCL2,CHD7,1,0.00011628760070894678
C19orf12,ASL,1,3.103966232839226e-05
CEP104,MGAT2,1,0.00028254364827915427
CHAMP1,PNPT1,1,7.828072759999688e-05
CHD4,PEX2,1,4.870467395951233e-05
CHD4,TCF12,1,0.00029530551393768976
CHD7,DDHD2,1,0.0004897440515810895
COL10A1,ANTXR1,1,0.00045183670540857595
COL10A1,CA2,1,0.0002939106486212608
COL10A1,MYO5B,1,0.0002546161320356043
COL4A3,FA2H,1,0.00046567743048716735
COMP,SMARCA2,1,0.0004588605180107697
COQ9,TRAPPC6B,1,0.00013290690199379583
CRYBA1,D2HGDH,1,4.966057670142583e-05
D2HGDH,COQ9,1,0.00042230635270791415
D2HGDH,FAAH2,1,0.0004551079693671041
D2HGDH,JAM3,1,3.3602943199987935e-05
D2HGDH,PUS1,1,0.0004160969021556651
D2HGDH,SRY,1,0.0003505011862681529
DLG2,SOX3,1,0.00034996642016442425
DOCK7,ADA,1,6.429999847795958e-05
DPYD,KIF5A,1,0.0002278421129085769
EBP,UBE3B,1,0.00010272129594535078
EDA,TMEM126B,1,0.00030751358866622593
EEF1B2,CEP57,1,0.00033348789255680374
